iter	Passed	Remaining
1075	89779	329329
1076	89853	329211
1077	89936	329126
1078	90017	329036
1079	90099	328946
1080	90181	328856
1081	90263	328770
1082	90347	328688
1083	90428	328597
1084	90513	328518
1085	90596	328434
1086	90691	328391
1087	90762	328263
1088	90834	328139
1089	90916	328049
1090	90998	327962
1091	91080	327872
1092	91162	327783
1093	91244	327695
1094	91325	327603
1095	91407	327514
1096	91495	327448
1097	91574	327348
1098	91645	327220
1099	91719	327104
1100	91801	327017
1101	91885	326935
1102	91967	326846
1103	92052	326770
1104	92135	326686
1105	92218	326600
1106	92302	326518
1107	92383	326426
1108	92465	326338
1109	92548	326255
1110	92618	326125
1111	92692	326006
1112	92773	325916
1113	92855	325828
1114	92936	325735
1115	93017	325644
1116	93100	325559
1117	93180	325465
1118	93262	325378
1119	93345	325293
1120	93436	325234
1121	93507	325110
1122	93582	324996
1123	93667	324919
1124	93748	324827
1125	93831	324744
1126	93913	324656
1127	93997	324573
1128	94081	324494
1129	94165	324412
1130	94249	324330
1131	94331	324243
1132	94413	324154
1133	94496	324071
1134	94580	323990
1135	94663	323905
1136	94746	323822
1137	94830	323740
1138	94914	323659
1139	94997	323574
1140	95079	323486
1141	95162	323401
1142	95245	323319
1143	95329	323237
1144	95412	323154
1145	95495	323066
1146	95576	322977
1147	95658	322888
1148	95740	322799
1149	95821	322710
1150	95904	322624
1151	95985	322533
1152	96066	322444
1153	96148	322355
1154	96230	322269
1155	96309	322171
1156	96395	322095
1157	96467	321975
1158	96544	321871
1159	96629	321792
1160	96718	321728
1161	96802	321648
1162	96885	321561
1163	96967	321475
1164	97050	321390
1165	97133	321306
1166	97216	321223
1167	97298	321136
1168	97377	321038
1169	97459	320949
1170	97540	320860
1171	97624	320778
1172	97706	320690
1173	97790	320608
1174	97873	320525
1175	97958	320448
1176	98040	320360
1177	98124	320279
1178	98206	320192
1179	98288	320105
1180	98371	320018
1181	98453	319933
1182	98537	319849
1183	98622	319772
1184	98705	319690
1185	98790	319610
1186	98875	319534
1187	98960	319455
1188	99043	319371
1189	99128	319293
1190	99211	319211
1191	99295	319128
1192	99379	319047
1193	99463	318967
1194	99546	318881
1195	99629	318796
1196	99711	318709
1197	99793	318621
1198	99877	318541
1199	99960	318457
1200	100043	318374
1201	100127	318290
1202	100210	318209
1203	100293	318124
1204	100375	318034
1205	100457	317947
1206	100538	317858
1207	100622	317777
1208	100705	317694
1209	100789	317612
1210	100874	317532
1211	100957	317450
1212	101029	317330
1213	101103	317217
1214	101186	317134
1215	101268	317046
1216	101350	316961
1217	101436	316883
1218	101518	316798
1219	101601	316712
1220	101682	316623
1221	101776	316574
1222	101851	316463
1223	101924	316349
1224	102007	316266
1225	102091	316182
1226	102173	316097
1227	102256	316011
1228	102339	315928
1229	102423	315847
1230	102506	315763
1231	102589	315679
1232	102674	315600
1233	102758	315521
1234	102841	315434
1235	102924	315352
1236	103008	315271
1237	103095	315197
1238	103179	315117
1239	103262	315033
1240	103345	314950
1241	103428	314864
1242	103509	314776
1243	103591	314689
1244	103675	314608
1245	103758	314524
1246	103841	314438
1247	103926	314360
1248	104009	314276
1249	104093	314195
1250	104175	314108
1251	104259	314026
1252	104342	313943
1253	104429	313871
1254	104511	313784
1255	104598	313711
1256	104682	313631
1257	104765	313547
1258	104848	313462
1259	104929	313374
1260	105012	313289
1261	105094	313202
1262	105177	313118
1263	105257	313024
1264	105340	312939
1265	105424	312858
1266	105507	312775
1267	105590	312690
1268	105672	312604
1269	105763	312544
1270	105841	312445
1271	105913	312327
1272	105985	312211
1273	106067	312124
1274	106149	312038
1275	106227	311938
1276	106302	311832
1277	106373	311711
1278	106447	311602
1279	106530	311517
1280	106612	311432
1281	106694	311345
1282	106775	311255
1283	106859	311172
